#,Name,Symbol,MarketCap,Price,CirculatingSupply,Volume24h,%1h,%24h,%7d
60,POWR  Power Ledger,POWR,704259916.0,1.95,360482334.0,61470200.0,8.85,19.91,126.26
61,SALT  SALT,SALT,697671280.0,12.8,54507698.0,46127500.0,2.51,8.34,-0.61
62,NXS  Nexus,NXS,673474099.0,12.28,54861485.0,12008800.0,-1.22,-12.34,306.28
63,AE  Aeternity,AE,663940571.0,2.85,233020472.0,6587440.0,1.25,29.69,131.05
64,PIVX  PIVX,PIVX,651443595.0,11.78,55291427.0,5996530.0,-0.06,12.41,20.25
65,REQ  Request Network,REQ,638210541.0,0.995977,640788433.0,39097200.0,-1.59,-5.59,129.63
66,KNC  Kyber Network,KNC,612149437.0,4.56,134132697.0,47219900.0,1.62,30.67,89.93
67,SUB  Substratum,SUB,608545483.0,2.69,226091449.0,50679000.0,-0.87,43.05,152.42
68,BTM  Bytom,BTM,604660875.0,0.612625,987000000.0,54259500.0,0.11,8.58,85.47
69,FCT  Factom,FCT,592081009.0,67.7,8745102.0,27324600.0,0.38,9.2,57.85
70,AION  Aion,AION,591767354.0,9.65,61299856.0,34374900.0,2.01,10.38,96.87
71,XDN  DigitalNote,XDN,566879363.0,0.082327,6885695758.0,98624600.0,-0.09,0.44,303.22
72,GBYTE  Byteball Bytes,GBYTE,553354047.0,857.62,645222.0,1425450.0,1.82,0.97,26.79
73,NXT  Nxt,NXT,551764651.0,0.5523170000000001,998999942.0,58735600.0,-1.87,1.93,-20.08
74,WAX  WAX,WAX,511691739.0,1.04,492954537.0,10559900.0,3.49,16.45,7.74
75,ELF  aelf,ELF,493975000.0,1.98,250000000.0,174013000.0,0.12,-1.5,119.27
76,MONA  MonaCoin,MONA,489943410.0,8.66,56548875.0,7469850.0,0.65,3.56,-8.3
77,BTCD  BitcoinDark,BTCD,487064886.0,377.9,1288862.0,971602.0,0.68,13.64,36.17
78,GAS  Gas,GAS,480465017.0,52.58,9137582.0,52992300.0,-1.26,12.24,89.2
79,MAID  MaidSafeCoin,MAID,473297415.0,1.05,452552412.0,9006040.0,1.14,0.53,26.36
80,QSP  Quantstamp,QSP,467648202.0,0.7575529999999999,617314171.0,63446900.0,4.03,40.43,136.33
81,POE  Po.et,POE,453804707.0,0.206594,2196601583.0,64485100.0,2.14,-10.58,102.13
82,ENG  Enigma,ENG,449249767.0,6.0,74836171.0,44245800.0,-1.85,3.14,142.7
83,ZCL  ZClassic,ZCL,448575218.0,247.86,1809800.0,90011400.0,5.25,84.3,199.03
84,SAN  Santiment Net...,SAN,448337692.0,7.41,60522871.0,7998460.0,-0.78,1.04,48.29
85,RHOC  RChain,RHOC,446497892.0,2.44,182963195.0,2946450.0,-0.21,-0.22,310.8
86,SYS  Syscoin,SYS,446470892.0,0.8422790000000001,530074824.0,10515100.0,-1.1,11.35,16.62
87,XZC  ZCoin,XZC,445003360.0,116.21,3829304.0,16988200.0,-1.02,6.73,3.09
88,ICN  Iconomi,ICN,430207380.0,4.31,99788314.0,10862200.0,0.74,4.15,65.88
89,GNO  Gnosis,GNO,421122728.0,381.25,1104590.0,9445660.0,1.0,-8.96,104.09
90,WTC  Walton,WTC,417119176.0,16.75,24898178.0,64820800.0,8.92,27.62,54.81
91,CVC  Civic,CVC,417065859.0,1.22,342699966.0,42583700.0,0.06,7.1,51.15
